#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100019	3438	3.44	58199	58.19	18848	18.84	7945	7.94	11589	11.59
Mouse	100019	89779	89.76	39	0.04	15	0.01	5388	5.39	4798	4.80
Rat	100019	89358	89.34	40	0.04	31	0.03	5422	5.42	5168	5.17
Drosophila	100019	99684	99.67	0	0.00	0	0.00	130	0.13	205	0.20
Worm	100019	99885	99.87	0	0.00	0	0.00	75	0.07	59	0.06
Yeast	100019	99891	99.88	0	0.00	0	0.00	3	0.00	125	0.12
Arabidopsis	100019	99844	99.82	0	0.00	0	0.00	36	0.04	139	0.14
Ecoli	100019	100017	100.00	0	0.00	2	0.00	0	0.00	0	0.00
rRNA	100019	99372	99.36	0	0.00	0	0.00	183	0.18	464	0.46
MT	100019	93711	93.70	0	0.00	0	0.00	6135	6.13	173	0.17
PhiX	100019	100019	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100019	100019	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100019	100019	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Adapters	100019	100019	100.00	0	0.00	0	0.00	0	0.00	0	0.00

%Hit_no_genomes: 3.27
