#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100075	3363	3.37	57305	57.26	19478	19.46	7579	7.57	12350	12.34
Mouse	100075	89746	89.69	34	0.03	5	0.00	5135	5.13	5155	5.15
Rat	100075	89238	89.17	50	0.05	17	0.02	5125	5.12	5645	5.64
Drosophila	100075	99696	99.62	0	0.00	0	0.00	140	0.14	239	0.24
Worm	100075	99914	99.84	1	0.00	0	0.00	79	0.08	81	0.08
Yeast	100075	99900	99.82	0	0.00	0	0.00	6	0.01	169	0.17
Arabidopsis	100075	99841	99.77	0	0.00	0	0.00	42	0.04	192	0.19
Ecoli	100075	100075	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	100075	99256	99.19	0	0.00	0	0.00	204	0.20	615	0.61
MT	100075	93477	93.41	0	0.00	0	0.00	6408	6.40	190	0.19
PhiX	100075	100075	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100075	100075	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100075	100075	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Adapters	100075	100075	100.00	0	0.00	0	0.00	0	0.00	0	0.00

%Hit_no_genomes: 3.22
