#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99947	3940	3.94	56380	56.41	19727	19.74	7700	7.70	12200	12.21
Mouse	99947	89370	89.42	34	0.03	12	0.01	5317	5.32	5214	5.22
Rat	99947	88989	89.03	60	0.06	26	0.03	5308	5.31	5564	5.57
Drosophila	99947	99524	99.58	0	0.00	0	0.00	121	0.12	302	0.30
Worm	99947	99752	99.80	0	0.00	0	0.00	88	0.09	107	0.11
Yeast	99947	99747	99.80	0	0.00	0	0.00	11	0.01	189	0.19
Arabidopsis	99947	99674	99.72	0	0.00	1	0.00	36	0.04	236	0.24
Ecoli	99947	99946	100.00	0	0.00	0	0.00	1	0.00	0	0.00
rRNA	99947	99164	99.21	0	0.00	0	0.00	205	0.21	578	0.58
MT	99947	93569	93.61	0	0.00	0	0.00	6183	6.19	195	0.20
PhiX	99947	99947	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	99947	99947	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	99947	99688	99.74	0	0.00	0	0.00	237	0.24	22	0.02
Adapters	99947	99710	99.76	0	0.00	0	0.00	1	0.00	236	0.24

%Hit_no_genomes: 3.54
