#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100050	3864	3.86	56918	56.89	19271	19.26	7854	7.85	12143	12.14
Mouse	100050	89413	89.37	33	0.03	10	0.01	5300	5.30	5294	5.29
Rat	100050	89037	88.99	58	0.06	24	0.02	5221	5.22	5710	5.71
Drosophila	100050	99629	99.58	1	0.00	0	0.00	133	0.13	287	0.29
Worm	100050	99853	99.81	0	0.00	0	0.00	94	0.09	103	0.10
Yeast	100050	99849	99.80	0	0.00	0	0.00	7	0.01	194	0.19
Arabidopsis	100050	99779	99.73	0	0.00	0	0.00	36	0.04	235	0.23
Ecoli	100050	100048	100.00	0	0.00	2	0.00	0	0.00	0	0.00
rRNA	100050	99231	99.19	0	0.00	0	0.00	184	0.18	635	0.63
MT	100050	93537	93.49	0	0.00	0	0.00	6330	6.33	183	0.18
PhiX	100050	100050	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100050	100050	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100050	99696	99.65	0	0.00	0	0.00	340	0.34	14	0.01
Adapters	100050	99710	99.66	0	0.00	0	0.00	1	0.00	339	0.34

%Hit_no_genomes: 3.36
