#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100173	3421	3.41	58211	58.11	19202	19.17	7762	7.75	11577	11.56
Mouse	100173	89961	89.81	29	0.03	9	0.01	5293	5.28	4881	4.87
Rat	100173	89640	89.49	50	0.05	19	0.02	5180	5.17	5284	5.27
Drosophila	100173	99832	99.66	1	0.00	0	0.00	116	0.12	224	0.22
Worm	100173	100031	99.85	0	0.00	0	0.00	66	0.07	76	0.08
Yeast	100173	100019	99.85	0	0.00	0	0.00	5	0.00	149	0.15
Arabidopsis	100173	99969	99.80	0	0.00	0	0.00	24	0.02	180	0.18
Ecoli	100173	100173	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	100173	99474	99.30	0	0.00	0	0.00	171	0.17	528	0.53
MT	100173	93888	93.72	0	0.00	0	0.00	6096	6.09	189	0.19
PhiX	100173	100173	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100173	100173	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100173	100168	100.00	0	0.00	0	0.00	0	0.00	5	0.00
Adapters	100173	100173	100.00	0	0.00	0	0.00	0	0.00	0	0.00

%Hit_no_genomes: 3.28
