#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99892	3503	3.50	56925	56.99	19474	19.50	7852	7.86	12138	12.15
Mouse	99892	89434	89.53	40	0.04	8	0.01	5208	5.21	5202	5.21
Rat	99892	88873	88.97	39	0.04	28	0.03	5259	5.26	5693	5.70
Drosophila	99892	99498	99.61	1	0.00	0	0.00	124	0.12	269	0.27
Worm	99892	99726	99.84	0	0.00	0	0.00	84	0.08	82	0.08
Yeast	99892	99689	99.80	0	0.00	0	0.00	10	0.01	193	0.19
Arabidopsis	99892	99631	99.74	0	0.00	0	0.00	43	0.04	218	0.22
Ecoli	99892	99891	100.00	0	0.00	0	0.00	0	0.00	1	0.00
rRNA	99892	99100	99.20	0	0.00	0	0.00	196	0.20	596	0.60
MT	99892	93391	93.50	0	0.00	0	0.00	6288	6.29	213	0.21
PhiX	99892	99892	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	99892	99892	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	99892	99886	99.99	0	0.00	0	0.00	1	0.00	5	0.01
Adapters	99892	99892	100.00	0	0.00	0	0.00	0	0.00	0	0.00

%Hit_no_genomes: 3.36
